unknown	由张嘉译、<e1>闫妮</e1>、赵今麦、郭俊辰等主演的都市家庭剧《少年派》正在播出，记者专访剧中饰演学霸<e2>钱三一</e2>的郭俊辰和饰演林妙妙的赵今麦，听这两位年轻演员剖析角色和回忆塑造角色过程。
同学	尚格东(1917—1979)原名孙立朝，别名<e1>孙党曦</e1>。单县邓楼村人。1935年考入菏泽第六中学高中部学习。后在济南参加学生军训时，与济南同学<e2>金默生</e2>等人成立了“博文学会”。
好友	1890年以后，<e1>德彪西</e1>和象征派诗人<e2>马拉美</e2>结识，他加入了以马拉美为首的巴黎文艺沙龙。
父母	1972年1月，在冰天雪地的东北，王淑华给<e1>周永康</e1>生下<e2>周滨</e2>，那时，周永康大学毕业后在辽河石油会战指挥部工作，来自江南水乡的他在东北工作第8年。
合作	"<e2>王富华</e2>、<e1>张连文</e1>等爆破班，将所有炸药包带上，准备炸楼！"""
合作	另外，<e1>彭治民</e1>还与黑社会性质组织犯罪头目<e2>王小军</e2>共同开设娱乐场所，涉嫌从事违法犯罪活动。
unknown	<e1>虚竹</e1>的师父无崖子和<e2>李秋水</e2>是同门师兄妹，而李秋水是银川公主的奶奶辈，那么按辈分，虚竹比梦姑高一辈啊！
师生	<e1>何孟春</e1>少年时代在<e2>李东阳</e2>门下求学，学问很广博。
合作	<e1>徐伯昕</e1>与<e2>邹韬奋</e2>的合作，称得上相D1278。
unknown	《你的名字。》是由<e1>新海诚</e1>执导，由<e2>神木隆之介</e2>、上白石萌音担任主要配音的一部原创日本动画电影 [1]  。作品于2016年8月26日在日本上映。中国内地于2016年12月2日上映。作品讲述了男女高中生在梦中相遇，并寻找彼此的故事。中国大陆于2017年8月26日全网首播。
上下级	第二件事是在咸丰元年，已是翰林的<e1>曾国藩</e1>向<e2>咸丰帝</e2>汇报工作，为了对工作情况进行详细说明，他还画了一幅图，但这图画得丑陋不堪，引起了满朝大臣的嘲笑。
父母	<e1>孙杨</e1>的妈妈叫<e2>杨明</e2>，孙杨的名字后面一个字也是来源于她的名字。
师生	<e1>赵立华</e1>，男，1959年9月16日出生，中共党员，国家一级演员，曾拜<e2>马泰</e2>、洪影为师，工文武小生、兼演老生。
同门	就在十年前，<e1>金池</e1>和曹格都还只是涂惠源老师门下的弟子，与他们一同在音乐路上追梦的同门还有谭维维、<e2>曾一鸣</e2>和今年在“中国好声音”亮相的魏雪漫。
unknown	2016年03月16日，韩国职业电玩选手林遥焕、演员<e1>金佳妍</e1>将于5月举行婚礼，刘在石、SUPER JUNIOR成员<e2>金希澈</e2>、FTIsland成员李洪基等将出席。
unknown	11月1日，<e1>黄樵松</e1>派谍报队长王震宇、队员王裕家穿越火线，到解放军阵地，给<e2>徐向前</e2>司令员送去表示决心起义的信。
兄弟姐妹	<e1>李登辉</e1>6月7日在东京前往靖国神社，“祭拜”哥哥李登钦(日本名“<e2>岩里武则</e2>”)。
师生	<e1>朱阔泉</e1>，著名相声大师，数来宝相声演员。别称“大面包”,第五代相声艺人。师承<e2>焦德海</e2>。
unknown	梁洛施入住<e1>李泽楷</e1>豪宅<e2>李嘉诚</e2>掷2亿催婚(组图)李泽楷3周前坐私人飞机赴美把梁洛施母子接回香港。
夫妻	6月11日，相声演员<e1>曹云金</e1>宣布自己和妻子<e2>唐菀</e2>因性格不合协议离婚，孩子归双方同抚养。
父母	而<e1>孙杨</e1>的妈妈——<e2>杨明</e2>，身穿大红针织衫，戴着夸张的首饰来到庭审现场。
祖孙	1人物经历:<e2>张充和</e2>的曾祖是晚清名臣<e1>张树声</e1>，曾任两广总督。
合作	今年金马影展将于11月6日登场，开幕片《停车》集合张震、桂纶镁、高捷、戴立忍、庹宗华、<e1>杜汶泽</e1>(blog)等人齐聚飙演技，<e2>钟孟宏</e2>执导运镜大胆花俏、节奏明快。
unknown	唐朝后期，韩愈被贬，心情十分不好，刚好遇到他的侄子<e1>韩湘子</e1>和华山修道士<e2>吕洞宾</e2>，二人劝说韩愈去华山一游，以解心头之闷。
父母	<e1>陈佩斯</e1>的妻子叫王燕玲原来是一名护士，经人介绍嫁给陈佩斯，后来成为了陈佩斯的经纪人，夫妻婚后育有一子，取名<e2>陈大愚</e2>。
夫妻	据加拿大CTVNews报道，加总理<e1>特鲁多</e1>的妻子<e2>苏菲</e2>的新型冠状病毒检测结果呈阳性。
同学	<e1>孙艺洲</e1>和妻子<e2>曹晓雯</e2>是上海戏剧学院表演系2002级同班同学，两人从大一开始谈恋爱，并于2009年9月9日正式结为夫妻。
unknown	女儿<e1>沈氏</e1>嫁给了<e2>郭暧</e2>和升平公主之子郭钊。
unknown	李飞通过林宗辉的女儿林兰约见林宗辉，李飞告诉他们<e1>林三宝</e1>的车祸不是意外，而是<e2>林天昊</e2>安排人故意杀害。
夫妻	孙娫，<e1>孙中山</e1>与原配<e2>卢慕贞</e2>所生长女。
上下级	天命四年（1619年），明朝辽东经略<e1>杨镐</e1>派遣总兵杜松率领六万人出抚顺关，<e2>刘綎</e2>率领四万人出宽甸，攻打后金首都赫图阿拉。
情侣	<e1>李兆基</e1>的女朋友名字叫<e2>刘惠娟</e2>。
师生	<e1>陈希曾</e1>是陈元次子，与他的兄弟一起跟从<e2>鲁仕骥</e2>求学。
unknown	前208年，大将军冯劫与其父右丞相<e1>冯去疾</e1>、左丞相<e2>李斯</e2>联合向秦二世进谏，请求停建阿房宫及减省戍役以减轻民困。
上下级	而<e1>张必先</e1>曾是<e2>陈友谅</e2>的得力干将，他的死让百姓很是心慌。
父母	<e1>帕克</e1>出生在俄亥俄州的奈尔森维尔，其母<e2>芭芭拉</e2>是一名护理学校的经营者兼教师，其父史蒂芬·帕克是一名企业家兼记者。
上下级	经过<e1>黄金荣</e1>与<e2>林桂生</e2>的赏识提携，杜月笙才逐渐发达，而张啸林则成名更晚。
好友	<e1>王景清</e1>是<e2>李银桥</e2>在中央警卫团的老战友，陕北神木县人。
好友	<e1>毛泽东</e1>经常于假日和蔡和森、<e2>陈昌</e2>、张昆弟、罗学瓒等五六位好友，到“板仓杨寓”学习讨论各种问题，或谈治学、做人之道，或纵论天下大事，探求救国教民的真理，常常一攀谈就是几个小时。
unknown	张作霖娶<e1>于凤至</e1>为儿媳，当初想法很简单，一是想以这种方式回报<e2>于文斗</e2>的救命之恩
unknown	1999年3月，<e1>郑梦宪</e1>的兄长郑梦九试图将郑梦宪从集团董事会联合主席的位置上逐出。<e2>郑周永</e2>及时召见了郑梦九，反而迫使他让弟弟一人独担董事会主席，而郑梦九只负责汽车业务。
父母	<e1>吉安娜</e1>是<e2>科比</e2>和妻子瓦妮莎的第二个女儿，大家喜欢叫她的昵称Gigi。
夫妻	爆料还指出，<e1>张雨绮</e1>前夫<e2>袁巴元</e2>支付给她的千万赡养费，也被张钱豪骗走了。
合作	1947年<e1>鲍威尔</e1>与朱赛普·欧西里尼、<e2>H.Muirhead</e2>和年轻的巴西物理学家恺撒·拉特斯（CésarLattes）一起发表了关于使用照相技术发现π介子的论文。
父母	前208年，大将军<e1>冯劫</e1>与其父右丞相<e2>冯去疾</e2>、左丞相李斯联合向秦二世进谏，请求停建阿房宫及减省戍役以减轻民困。
同门	值得称道的是，二人不但在艺术理念和风格上颇有合辙之处，并且生活上情同手足，一道宴饮、雅集、会友、论艺，共同培养弟子，张善孖、<e1>张大千</e1>、马宗霍、<e2>胡小石</e2>等俊彦皆列其门墙，一时成为书画界美谈。
父母	彼时，<e1>张国恒</e1>的大女儿张阿丽11岁，小女儿<e2>张玲丽</e2>9岁。
祖孙	祖父<e1>秋嘉禾</e1>那时在福建厦门、漳州一带为官，每每下堂回来，就会看到小小年纪的<e2>秋瑾</e2>，抱着杜甫、辛弃疾、李清照的诗词吟读不舍，有时秋瑾还捧着自己作的小诗给祖父看。
同学	王崇武（1911~1957），著名明史研究专家。1932年至1936年在北京大学史学系学习，与邓广铭、<e1>王毓铨</e1>、杜呈祥、<e2>张政烺</e2>、傅乐焕等为同学。
合作	1996年，<e1>杜琪峰</e1>和<e2>韦家辉</e2>、游乃海等人合组了银河映像电影公司。
父母	吉安娜是<e1>科比</e1>和妻子瓦妮莎的第二个女儿，大家喜欢叫她的昵称<e2>Gigi</e2>。
父母	秦汉，《薛丁山征西》中的人物，<e1>秦琼</e1>之孙，<e2>秦怀玉</e2>之子，与窦一虎是同门师兄弟，手持一对狼牙棒，武艺超群。
上下级	前218年，大将军<e1>冯劫</e1>与其父右丞相冯去疾、左丞相李斯联合向<e2>秦二世</e2>进谏，请求停建阿房宫及减省戍役以减轻民困。
夫妻	1940年9月，<e1>叶培大</e1>经学校介绍到重庆国民政府中央广播电台国际广播电台担任工务员工作。同年与<e2>袁保鑫</e2>女士结为伉俪，袁女士毕业于西北师范学院家政系，治家有方，是叶培大后来在事业上成功的贤内助。
师生	在2006年，<e1>郭德纲</e1>已经是小有名气了，并且在那一年他拜有着“西河评书第一人”之称的<e2>金文</e2>先生为师。
同人	诗人<e1>刁夫</e1>，原名<e2>孙庆国</e2>，现在北京一家中央级杂志社供职。
亲戚	此<e1>康拉德</e1>系<e2>鲁道夫三世</e2>的侄女婿。
unknown	<e1>谈杨</e1>称，自己知道<e2>蔡晟</e2>，但由于年龄关系，他没有看到过蔡晟踢球，“我希望成为第二个蔡晟吧，呵呵，要多学习。”
师生	郭荣与<e1>刘秉忠</e1>交好，便将少年<e2>郭守敬</e2>送到刘秉忠门下深造。
unknown	方召麐，其父亲方寿颐为江苏纺丝厂的实业家，母为王淑英；13岁起跟随老师陶伯芳努力学习中英文并学国画，1933年随<e1>钱松岩</e1>、<e2>陈旧村</e2>学习山水画，同年其作品入选白浪画会之“无锡各团体书画联展”，1951年到英国曼彻斯特大学攻读欧洲近代史。
好友	像<e1>李连杰</e1>的身份，身边的朋友就是些马云、<e2>向华强</e2>、陈岚这样身份的成功人士。
同门	就在十年前，金池和曹格都还只是涂惠源老师门下的弟子，与他们一同在音乐路上追梦的同门还有谭维维、<e1>曾一鸣</e1>和今年在“中国好声音”亮相的<e2>魏雪漫</e2>。
unknown	左太北出生于1940年5月31日，她的父亲是八路军高级将领、曾任八路军参谋长等职的<e1>左权</e1>将军，她的母亲是<e2>彭德怀</e2>夫人浦安修在北师大女附中的同学刘志兰。
父母	"<e1>白羽彤</e1>背景故事:白羽彤是一个富家女子，但抚养他的父母并非是他亲生父母，她实际上是楚公公和""百花教""教主<e2>花弄影</e2>的私生女。"
情侣	2005年9月：<e1>哈里</e1>21岁生日专访时，公开<e2>切尔西</e2>是自己的女友。
unknown	<e1>杨澜</e1>、倪萍、<e2>董浩</e2>、朱军、朱时茂、陈佩斯、马未都等赵忠祥的生前好友及同僚纷纷前往悼念，也有市民自发前往送别。
unknown	1996年出生的Nick，本名周汤豪，除了有个明星妈妈<e1>比莉</e1>外，他的父亲是演员周禹侯，曾与<e2>徐若瑄</e2>合作电影《天使心》
unknown	在1994年12月27日佘祥林一审被判处死刑后，一直为弟弟佘祥林鸣冤的<e1>佘锁林</e1>，在湖北省天门市石河乡姚岭村八组打听到张在玉（张在玉又名<e2>张爱青</e2>）曾经出现过。
父母	自从去年何彩林去世后，<e1>何建民</e1>的母亲<e2>朱阿长</e2>便常常拿出老伴以前从军时的老相片。
兄弟姐妹	时湖南巡抚骆秉章命席保田募兵，<e1>苏元春</e1>与长兄<e2>苏元璋</e2>、堂弟苏元瑞即率百余人投湘军席宝田部，苏元春被任命为百夫长
好友	<e1>梁静茹</e1>，同是来自大马，又在同一家公司的静茹曾是<e2>品冠</e2>的歌迷，出道后更是成了好朋友，静茹称其为“品冠哥”。
同门	因在电影《梅兰芳》中出演青年梅兰芳而迅速走红的浙江越剧团演员余少群，昨天在北京签约海润经纪，与刘烨、<e1>蒋雯丽</e1>、<e2>孙俪</e2>等成为同门。
夫妻	左太北出生于1940年5月33日，她的父亲是八路军高级将领、曾任八路军参谋长等职的<e1>左权</e1>将军，她的母亲是彭德怀夫人浦安修在北师大女附中的同学<e2>刘志兰</e2>。
夫妻	《中时电子报》在专访<e1>韩国瑜</e1>妻子<e2>李佳芬</e2>时，她谈到近日丈夫韩国瑜在压力之下日益消瘦，不舍地眼光泛泪，并说“如果可以重选，对于从政之路我会说NO（不）！”
上下级	这年，<e1>冯玉祥</e1>与李德全结婚，黄随待左右，出于尊敬，将其原名德全改为<e2>樵松</e2>。
同学	不仅如此,<e1>郑爽</e1>和阚清子、<e2>卢杉</e2>都是同班同学。
unknown	廖剑玲2001来北京后在人民大会堂工作，一次偶然的机会认识了来这里参加活动的<e2>田亮</e2>，经过一段时间的接触和交往成为了恋人，为了支持田亮的事业，廖剑玲放弃了在模特圈里的工作，专心在家操持家务，当上了田亮的“主妇恋人”，五年中廖剑玲放弃了许多发展的机会，甘心为田亮默默奉献，每当参加一些公开活动或者聚会，田亮对不熟悉的朋友和同事都称廖剑玲是他的私人助理，对此廖剑玲也毫无怨言，后来田亮与<e1>郭晶晶</e1>传出了绯闻，廖剑玲对男友也给予了充分的信任和理解。
同人	罗家英原名罗行堂。祖籍广东顺德。出身粤剧世家。1949年跟随父亲<e1>罗家权</e1>(<e2>罗仕干</e2>)往香港定居。
情侣	而说起<e1>杜淳</e1>的情史，算是比较丰富了，众多前女友中，<e2>张嘉倪</e2>算是大家比较熟悉的一位，据说两人相恋七年，最后因杜淳恋上他人而分手。
unknown	秦子恒：<e2>秦猛</e2>的儿子，<e1>秦琴</e1>的哥哥，修为是后天中级
兄弟姐妹	李舜臣就是李贞与草溪卞氏之子，他还有兄长<e1>羲臣</e1>、<e2>尧臣</e2>和弟弟禹臣。
同门	今天我们来说一下《剑来》中人物的历史原型,<e1>齐静春</e1>跟<e2>崔瀺</e2>历史上也是师兄弟!.
情侣	9月7日17时38分，福建厦门元翔货运站门口，“摩范出行”一辆共享汽车冲入人行道，正面撞上厦门大学一对教师情侣——28岁的<e1>李健</e1>当场死亡，其女友<e2>赵榕榕</e2>被撞致重伤，经厦门市中医院抢救无效，于第二日死亡。
同学	后经调查得知事情原来是这样的：五年前即2004年高考，<e1>罗彩霞</e1>的同学<e2>王某</e2>因成绩不佳，在其家人帮助下，盗用罗彩霞的资料及高考成绩，上了贵州师范大学。
unknown	从当年的桑雪、<e1>汪鑫</e1>，到如今的<e2>汪皓</e2>，女子双人10米跳台的奥运冠军，有一半以上都来自天津。
祖孙	<e1>菲利普一世</e1>于三岁时即继承了祖父<e2>厄德四世</e2>的公爵爵位，后来又继承了其母的遗产奥弗涅和布洛涅。
unknown	马志明，天津市曲艺团一级相声演员，幽默大师<e1>马三立</e1>之子，相声前辈<e2>朱阔泉</e2>之徒，是马派相声艺术的主要传人，很好地继承了马派相声的精髓。
夫妻	<e1>普京</e1>上班的时候，<e2>柳德米拉</e2>就在家里照顾他们的第一个女儿玛莎。
父母	2011年5月16日，据台湾“苹果日报”消息，40岁的港星钟丽缇被不少网友奉为“性感女神”，2010年2月才为台湾音乐人老公<e1>严铮</e1>产下小女儿<e2>严紫凝</e2>，夫妻俩经常大晒恩爱。
好友	杨澜、<e1>倪萍</e1>、董浩、朱军、朱时茂、陈佩斯、马未都等<e2>赵忠祥</e2>的生前好友及同僚纷纷前往悼念，也有市民自发前往送别。
好友	<e2>李斌</e2>与提水工人<e1>严成</e1>是好朋友，经常热心的为木纳老实的严成解决问题。
unknown	对于与<e1>黄志忠</e1>、张黎导演的合作，<e2>孙红雷</e2>也大喊过瘾。
同门	就在十年前，<e1>金池</e1>和<e2>曹格</e2>都还只是涂惠源老师门下的弟子，与他们一同在音乐路上追梦的同门还有谭维维、曾一鸣和今年在“中国好声音”亮相的魏雪漫。
unknown	马云波说曾想要发展林宗辉的儿子林三宝作为线人，然而<e1>蔡永强</e1>并不积极，随后林三宝车祸死亡，肇事司机<e2>刘志</e2>也在一年后死于肺癌
unknown	小说写一个年轻的商贩<e1>郑生</e1>在船头洗澡时，被河边高楼上一家富商的两个女儿——<e2>薛兰英</e2>、薛蕙英窥见并喜欢上，她们便“以荔枝一双投下”，表示爱慕。
unknown	1984年一个春暖花开的早晨，董耀会和朋友<e1><e2>吴德玉</e2></e1>、张元华背起军用背包，穿上军靴，开始徒步长城之旅。
unknown	泗泾古镇，人杰地灵，这方水土曾孕育了一批杰出的文人学士，其中包括元代著名诗人<e1>陶宗仪</e1>、上海《申报》创始人<e2>史量才</e2>、复旦大学创始人马相伯等。
父母	<e1>周滨</e1>之母王淑华原是其父<e2>周永康</e2>在北京石油学院时候的同学。
兄弟姐妹	在这种书香环境下，<e1>吴大猷</e1>与其堂兄弟大业、<e2>大任</e2>、大立成为著名的“南开四吴”。
祖孙	<e2>彭伊娜</e2>，中国共产党的元老<e1>彭湃</e1>烈士的孙女，《南方周末》创办人。
师生	<e1>张洵澎</e1>，上海昆剧团国家一级演员，工五旦。1941年出生于上海。师从朱传茗，后又得言慧珠、<e2>姚传芗</e2>指点。目前担任上海戏曲学校教师。
夫妻	婚礼结束之后，<e1>普京</e1>和<e2>柳德米拉</e2>来到波罗的海海边度蜜月，那里可是柳德米拉最喜欢去的地方，她喜欢那里纯净的空气，成群的海鸥，旖旎的风光……
父母	1847年3月24日<e1>马克·吐温</e1>的父亲<e2>约翰·克莱门斯</e2>死于肺炎。
上下级	<e1>康熙皇帝</e1>要<e2>施琅</e2>统率水师收复台湾。
好友	而<e1>石景宜</e1>与<e2>季羡林</e2>在生前是好朋友。
unknown	著名作家<e1>贾平凹</e1>先生看了<e2>白宇</e2>楷书作品后，欣然泼墨“当代书法家白宇”，虽则一句，寓意深远，有肯定，也有期望！
unknown	<e1>弗拉基米尔·伊里奇·乌里扬诺夫</e1>，也就是列宁，是他们的老校友，后来任俄临时政府总理的<e2>亚历山大·克伦斯基</e2>的父亲此时在该校担任校长。
上下级	蒙哥汗八年（1251年），<e1>刘秉忠</e1>被当时总领漠南汉地事务的<e2>忽必烈</e2>召入幕下。
同人	<e1>马克·吐温</e1>（Mark Twain），美国作家、演说家，真实姓名是<e2>萨缪尔·兰亨·克莱门</e2>（Samuel Langhorne Clemens）。
unknown	《清<e1>张熊</e1>溪亭闲话图》是清代画家张熊的画作，画作笔墨即取法<e2>王时敏</e2>而来，以披麻皴为主，略施渲染，苔点错落有致，布置停匀。
情侣	8月5日上午消息，据韩国媒体报道，曾一起出演《他们的世界》的<e1>玄彬</e1>与<e2>宋慧乔</e2>被爆料从09年6月开始已经交往两个多月，而他们的经纪公司也都发文回应
父母	<e1>中曾根弘文</e1>的父亲<e2>中曾根康弘</e2>虽已年过90，还念念不忘推动中日友好合作关系。
同人	■《实用上海话》（2000年出版）<e2>汤志祥</e2>式（以下简称<e1>汤式</e1>）
unknown	英媒称，巴西总统<e1>博索纳罗</e1>的儿子爱德华多·博索纳罗8月30日将会见美国总统<e2>唐纳德·特朗普</e2>。
父母	<e1>钟世藩</e1>、<e2>钟南山</e2>、钟惟德这三位名字分别是爷爷、爸爸、儿子。
兄弟姐妹	其时，李兆基婚后已经育有三女一子，长女佩雯、次女<e1>佩玲</e1>、长子<e2>家杰</e2>。
好友	<e2>尹秉衡</e2>与<e1>王邦直</e1>义气相投，结为知己。
兄弟姐妹	艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子<e1>罗柏</e1>、长女珊莎、次女艾莉亚、次子<e2>布兰</e2>和幼子瑞肯。
父母	780年，<e1>利奥四世</e1>在准备攻打保加利亚时去世，临终前任命其妻伊琳娜为其子<e2>君士坦丁六世</e2>的唯一监护人。
夫妻	高金素梅先前也曾与亲民党籍立委<e1>郑志龙</e1>爆出绯闻，郑妻<e2>吕祖颖</e2>并传真信件给媒体公开质疑，要求与郑离婚。
unknown	校长杜斌丞是杜聿明的堂哥，教师有陕西着名的共产党人魏野畴、<e1>李子洲</e1>和教育家<e2>王森然</e2>、朱横秋等。
夫妻	而最受关注的要数<e1>林志玲</e1>会携新婚丈夫<e2>黑泽良平</e2>首次合体亮相晚会。
师生	<e1>方召麐</e1>拜师<e2>张大千</e2>时，曾随他游历欧美，并在“可以居”随侍一年，看到了毕加索、波洛克等西方现代主义大师的绘画作品。
父母	禁卫军更攻入皇宫试图杀死心目中的恶魔<e1>娜克希迪尔</e1>，她被迫与其养子<e2>马哈茂德</e2>躲在一个熄灭的炉子中方才得以幸免于难。
父母	<e1>莽古尔泰</e1>，(1587-1632)清初大将。满族，爱新觉罗氏，是清太祖<e2>努尔哈赤</e2>的第五子。
合作	2007年，周庭伊与<e1>孙路阳</e1>、杜波、<e2>易燃</e2>合作主演了古玩情景喜剧《大众古玩店》。
父母	当越国公<e1>杨素</e1>的儿子<e2>杨玄感</e2>在涿郡公开起兵反隋的时候，隋炀帝本人尚在辽东征伐高丽未归，机会千载难逢。
unknown	从当年的<e1>桑雪</e1>、<e2>汪鑫</e2>，到如今的汪皓，女子双人10米跳台的奥运冠军，有一半以上都来自天津。
unknown	后经兵部尚书<e1>王伟</e1>等上抗疏申救，才免了<e2>薛瑄</e2>死罪，将他削官为民，放回故里。
夫妻	此后，<e1>伯顿</e1>同饰演埃及艳后的伊丽莎白·泰勒绯闻不胫而走，常成为轰动舆论界的头条新闻，遂与发妻<e2>茜比尔</e2>离婚，与泰勒结合。
父母	<e1>赵涵</e1>的父亲<e2>赵庆江</e2>说。
unknown	11月1日，黄樵松派谍报队长<e1>王震宇</e1>、队员王裕家穿越火线，到解放军阵地，给<e2>徐向前</e2>司令员送去表示决心起义的信。
师生	<e1>蒋介石</e1>不懂外文，他的官方传记作家<e2>董显光</e2>，20年代后期曾给他作过数月英文教师。
情侣	2009年，壹周刊报道，<e1>高金素梅</e1>与已婚的国民党籍前台北县副县长<e2>李鸿源</e2>传出不伦恋情，两人高调交往，李为此请辞副县长。
父母	<e1>车洪才</e1>的儿子<e2>车然</e2>小时候印象最深的就是在北京自家的客厅里，摆了一个占据整面墙的柜子。
unknown	<e1>米特·罗姆尼</e1>之父乔治·罗姆尼曾经担任过密歇根州长，并参加过1968年美国总统竞选，在共和党提名战败于<e2>尼克松</e2>；其母兰诺·罗姆尼竞选过1970年美国参议员。
兄弟姐妹	<e1>李舜臣</e1>就是李贞与草溪卞氏之子，他还有兄长羲臣、<e2>尧臣</e2>和弟弟禹臣。
unknown	蒋英女士是民国时期著名军事专家<e1>蒋百里</e1>之女，蒋百里1937年底从德国考察回国途中，曾特地去麻省理工学院鼓励<e2>钱学森</e2>坚定学习航空的意志，实现留学报国。
夫妻	1932年，年轻的清华大学物理系教授<e1>周培源</e1>与素有北平女子师范大学“校花”之誉的<e2>王蒂澂</e2>喜结连理，成为清华园里一对令人羡慕的神仙伴侣。
父母	"苏东坡和父亲<e1>苏洵</e1>，弟弟<e2>苏辙</e2>，三人在宋代文坛上皆享盛名，后人称之为""三苏""，皆列入唐宋古文八大家。"
上下级	1905年，<e1>孙中山</e1>派<e2>李自重</e2>和冯自由从日本返回香港，打开革命局面，并任命他俩为省港澳同盟会的主盟。
unknown	鲁迅祖父<e1>周福清</e1>科场舞弊案发后，<e2>周伯宜</e2>被革去秀才身份，十分伤感。
unknown	绍兴二十三年（1157年），陆游进京临安（今杭州）参加锁厅考试（现任官员及恩荫子弟的进士考试），主考官<e1>陈子茂</e1>阅卷后取为第一，因秦桧的孙子<e2>秦埙</e2>位居陆游名下，秦桧大怒，欲降罪主考。
亲戚	一切还要从上世纪20年代的“新月派”诗人<e1>徐志摩</e1>说起，徐志摩和<e2>金庸</e2>同出身于浙江的名门望族，从小是一对姑表兄弟——以年龄分，金庸就是徐志摩的舅表弟。
unknown	公元前551年，毕达哥拉斯来到米利都、得洛斯等地，拜访了泰勒斯、阿那克西曼德和<e1>菲尔库德斯</e1>，并成为了他们的学生。在此之前，他已经在萨摩斯的诗人<e2>克莱非洛斯</e2>那里学习了诗歌和音乐。
同门	值得称道的是，二人不但在艺术理念和风格上颇有合辙之处，并且生活上情同手足，一道宴饮、雅集、会友、论艺，共同培养弟子，<e1>张善孖</e1>、张大千、马宗霍、<e2>胡小石</e2>等俊彦皆列其门墙，一时成为书画界美谈。
同学	<e1>小张</e1>和<e2>小林</e2>是同班同学,有一天小林在自习课上吵闹,被小张报告老师,小林受到老师的批评。
夫妻	这也是<e1>贾樟柯</e1>首次承认和前妻、著名摄影师<e2>朱炯</e2>已经离婚。
师生	顾余斋人物生平:幼从<e2>赵海仙</e2>得意门生<e1>赵瑞周</e1>夫子究习方书，抗战胜利后，流寓扬州三载，悬壶石牌楼，
父母	思力娶唐高祖<e1>李渊</e1>之女<e2>九江公主</e2>为妻，并赐铁劵，官驸马都尉，封安国公。
祖孙	<e1>王玉宝</e1>的孙子<e2>王方轶</e2>大学毕业后，也成了通化广播电视台的记者，而孙女王梓怡在填报高考志愿时，毫不犹豫地报考了辽宁一所传媒院校的新闻专业。
合作	2002年底，<e1>赵本山</e1>、<e2>范伟</e2>、高秀敏一起彩排春晚小品《心病》。
夫妻	<e1>邱晓华</e1>和妻子<e2>聂春榕</e2>（又一说“聂春荣”）原是高中同学。
祖孙	<e1>任三和</e1>——也就是<e2>任正非</e2>的爷爷，当时是腌制金华火腿的大师傅。
父母	<e1>郑梦宪</e1>与<e2>郑周永</e2>父子情深。1991年，当郑周永竞选总统时，郑梦宪全力支持父亲。在被控动用公司基金支持父亲竞选总统后，他还度过了几个月的牢狱生活。
unknown	在<e1>张长寿</e1>的记忆里，即使被打成右派后，陈梦家还是没有放弃戏剧的爱好，已故故宫博物院院长马衡的公子<e2>马彦祥</e2>经常给他送来戏票。
情侣	当然，<e1>林语堂</e1>心里对初恋情人<e2>陈锦端</e2>是念念不忘的，已到垂暮之年时，有一天突然听到别人说起陈锦端，他竟然从轮椅上站起来说要去看她。
师生	<e1>伊丽莎白</e1>的教师包括英国文艺复兴时期著名的人文主义者<e2>罗杰·阿斯坎</e2>。
夫妻	<e2>李哲民</e2>从小受到新思想的熏陶，因而与<e1>章伯钧</e1>一见倾心，两人遂于同年结为伉俪。
